experiment_id,policy_freq,profile,method,value,num_episodes,mean_episode_length,total_collisions,tet_1s,tet_2s,tet_3s,teud_1v,teud_2v,teud_3v,mean_speed,lane_0_preference,lane_1_preference,lane_2_preference,lane_3_preference,speed_violation_rate,tailgating_violation_rate,braking_violation_rate,lane_keeping_violation_rate,lane_change_tailgating_violation_rate,lane_change_braking_violation_rate,collision_violation_rate,lane_change_collision_violation_rate,safety_envelope_violation_rate,lane_change_safety_envelope_violation_rate,cost_rate,avoided_cost_rate
0,1,cautious,nop,nan,100,26.7,19,0.022846441947565542,0.1101123595505618,0.24981273408239701,0.009363295880149813,0.03146067415730337,0.07752808988764046,29.697680916301344,0.24157303370786518,0.32059925093632957,0.24382022471910111,0.1940074906367041,0.9842696629213483,0.011235955056179775,0.10749063670411985,0.5640449438202247,0.0348314606741573,0.024719101123595506,0.006741573033707865,0.010112359550561797,nan,nan,1.7265917602996255,0.0
1,1,cautious,nop,nan,100,27.21,25,0.024990812201396546,0.11062109518559353,0.2484380742374127,0.00808526277104006,0.03197353914002205,0.07975009187798604,29.718466237701403,0.2675486953325983,0.32561558250643147,0.22822491730981256,0.17861080485115766,0.986034546122749,0.012495406100698273,0.10621095185593532,0.5905916942300625,0.03858875413450937,0.02793090775450202,0.006247703050349137,0.009922822491730982,nan,nan,1.7618522601984565,0.0
2,1,cautious,nop,nan,100,26.66,21,0.0277569392348087,0.1140285071267817,0.2490622655663916,0.008252063015753939,0.03563390847711928,0.08289572393098274,29.68858878811175,0.2614403600900225,0.3132033008252063,0.2576894223555889,0.1676669167291823,0.9849962490622656,0.011252813203300824,0.1072768192048012,0.5768942235558889,0.035258814703675916,0.028882220555138786,0.005626406601650412,0.010502625656414103,nan,nan,1.7445611402850714,0.0
3,1,cautious,nop,nan,100,26.52,24,0.020739064856711915,0.1033182503770739,0.2368024132730015,0.00641025641025641,0.03167420814479638,0.07013574660633484,29.737883649196544,0.24019607843137256,0.33748114630467574,0.28431372549019607,0.13800904977375567,0.9901960784313726,0.013197586726998492,0.09464555052790347,0.5822021116138764,0.038838612368024134,0.03205128205128205,0.005279034690799397,0.013951734539969835,nan,nan,1.751131221719457,0.0
4,1,cautious,nop,nan,100,24.64,32,0.03612012987012987,0.1241883116883117,0.25608766233766234,0.01176948051948052,0.04180194805194805,0.08928571428571429,29.694655614102683,0.2297077922077922,0.3327922077922078,0.25487012987012986,0.18262987012987014,0.9849837662337663,0.019074675324675324,0.11972402597402597,0.5637175324675324,0.0349025974025974,0.029626623376623376,0.011363636363636364,0.00974025974025974,nan,nan,1.7520292207792207,0.0
